Alpha  Lift (CL)  Drag (CD)  Normal (CN)  Axial (CA)
[deg]     [-]        [-]        [-]          [-]
====================================================
  0     0.0000     0.0000      0.0000      0.0000
 10     0.8628     0.0209      0.8533     -0.1293
 15     1.0314     0.0577      1.0112     -0.2112
 17     0.5802     0.2164      0.6181      0.0373
 23     0.5752     0.3378      0.6615      0.0862
 33     0.8826     0.6971      1.1199      0.1039
 45     0.9620     1.0828      1.4459      0.0854
 55     0.8579     1.4210      1.6561      0.1123
 70     0.5603     1.6585      1.7501      0.0407
 80     0.3273     1.8010      1.8305     -0.0096
 90     0.0744     1.8377      1.8377     -0.0744
100    -0.1835     1.7581      1.7632     -0.1246
110    -0.4265     1.6362      1.6834     -0.1589
120    -0.6298     1.5037      1.6171     -0.2065
130    -0.8132     1.2601      1.4880     -0.1870
140    -0.8975     0.9425      1.2934     -0.1451
150    -0.7041     0.6038      0.9117     -0.1708
160    -0.5802     0.3126      0.6521     -0.0953
170    -0.8132     0.1325      0.8239      0.0107
180     0.0000     0.0000      0.0000      0.0000
